miRNA	Source	Info	Dir	Contrast
hsa-miR-130b-3p	CMEP	GSE41526_BCvsNorm, GSE58606_LumAvsTNBC	down, down	BC vs Norm, LumA vs TNBC
hsa-miR-132-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-132-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-1321	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, down, down	Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-miR-133b	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-136-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-137	CMEP	GSE58606_LumAvsTNBC, GSE49035_REvsNoRE, GSE49035_S3vsS2	up, down, down	LumA vs TNBC, Relaps, Stage3 vs Stage2
hsa-miR-139-3p	CMEP	GSE53179_BCvsNorm	up	BC vs Norm
hsa-miR-140-3p	CMEP	GSE58606_LumBvsTNBC, GSE49035_REvsNoRE	up, down	LumB vs TNBC, Relaps
hsa-miR-140-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-141-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-142-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-143-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-144-3p	CMEP	GSE49035_REvsNoRE, GSE58606_LumBvsTNBC	down, up	Relaps, LumB vs TNBC
hsa-miR-144-5p	CMEP	GSE58606_HER2vsTNBC, GSE68373_MEvsNoME	up, down	Her2 vs TNBC, Metastasis
hsa-miR-145-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-146a-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-147b	CMEP	GSE49035_S3vsS2, GSE49035_REvsNoRE	down, down	Stage3 vs Stage2, Relaps
hsa-miR-148a-3p	CMEP	GSE22981_BCvsNorm, GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	down, up, up, up	BC vs Norm, LumA vs TNBC, Her2 vs TNBC, LumB vs TNBC
hsa-miR-148b-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-149-5p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-150-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	down, up, down	LumA vs TNBC, Her2 vs TNBC, LumB vs TNBC
hsa-miR-151a-3p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-151a-5p	CMEP	GSE41526_BCvsNorm, GSE22981_BCvsNorm	up, down	BC vs Norm, BC vs Norm
hsa-miR-1538	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-154-3p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-155-5p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-15a-5p	CMEP	GSE41526_BCvsNorm, GSE58606_LumBvsTNBC	up, up	BC vs Norm, LumB vs TNBC
hsa-miR-15b-5p	CMEP	GSE41526_BCvsNorm, GSE58606_LumBvsTNBC	up, up	BC vs Norm, LumB vs TNBC
hsa-miR-15b-3p	CMEP	GSE53179_BCvsNorm	up	BC vs Norm
hsa-miR-16-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-17-3p	CMEP	GSE58606_HER2vsTNBC, GSE49035_REvsNoRE	up, down	Her2 vs TNBC, Relaps
hsa-miR-17-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-181a-5p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-181a-3p	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-181b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-181c-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-181d-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-182-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-1825	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-183-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-185-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-187-3p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-187-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-188-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-18a-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-18b-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-191-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-1915-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-192-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-193a-3p	CMEP	GSE58606_LumBvsTNBC, GSE41526_BCvsNorm	up, down	LumB vs TNBC, BC vs Norm
hsa-miR-194-3p	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-195-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-196a-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-199a-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-199a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-miR-199b-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-19b-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-19b-1-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-200b-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-202-5p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-205-5p	CMEP	GSE49035_REvsNoRE, GSE58606_LumAvsTNBC	down, up	Relaps, LumA vs TNBC
hsa-miR-2053	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-2054	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	up, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-206	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-208a-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-208a-5p	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-208b-3p	CMEP	GSE68373_MEvsNoME, GSE58606_LumAvsTNBC, GSE49035_S3vsS2	down, down, down	Metastasis, LumA vs TNBC, Stage3 vs Stage2
hsa-miR-20a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-20b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-2110	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-2114-5p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-2116-5p	CMEP	GSE49035_S3vsS2, GSE58606_LumBvsTNBC	up, down	Stage3 vs Stage2, LumB vs TNBC
hsa-miR-2116-3p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-212-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-214-3p	CMEP	GSE49035_S3vsS2, GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	down, up, up	Stage3 vs Stage2, Her2 vs TNBC, LumB vs TNBC
hsa-miR-215-5p	CMEP	GSE58606_LumAvsTNBC, GSE41526_BCvsNorm	down, down	LumA vs TNBC, BC vs Norm
hsa-miR-216a-5p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-216b-5p	CMEP	GSE41526_BCvsNorm, GSE98181_BCvsNorm	down, up	BC vs Norm, BC vs Norm
hsa-miR-218-5p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-218-1-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-218-2-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-219a-2-3p	CMEP	GSE58606_HER2vsTNBC, GSE49035_S3vsS2	up, down	Her2 vs TNBC, Stage3 vs Stage2
hsa-miR-222-3p	CMEP	GSE53179_BCvsNorm	up	BC vs Norm
hsa-miR-222-5p	CMEP	GSE58606_LumBvsTNBC, GSE41526_BCvsNorm	up, down	LumB vs TNBC, BC vs Norm
hsa-miR-223-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-2277-3p	CMEP	GSE49035_REvsNoRE, GSE58606_LumAvsTNBC	up, up	Relaps, LumA vs TNBC
hsa-miR-2355-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-23a-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-23b-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-23c	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-24-2-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-2467-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-25-5p	CMEP	GSE41526_BCvsNorm, GSE49035_S3vsS2	down, down	BC vs Norm, Stage3 vs Stage2
hsa-miR-2681-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-2682-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-26a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-26b-3p	CMEP	GSE53179_BCvsNorm	down	BC vs Norm
hsa-miR-26b-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-27b-3p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-28-3p	CMEP	GSE58606_LumAvsTNBC, GSE49035_REvsNoRE	up, up	LumA vs TNBC, Relaps
hsa-miR-28-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-219b-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-299-5p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-29a-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-29b-2-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-29b-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up, up	Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-miR-29c-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up	LumA vs TNBC, LumB vs TNBC
hsa-miR-29c-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-301a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-302a-3p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-302b-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-302b-5p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-3074-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-30a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-30a-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up	LumA vs TNBC, LumB vs TNBC
hsa-miR-30b-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-30c-2-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-30c-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up	LumA vs TNBC, LumB vs TNBC
hsa-miR-30d-5p	CMEP	GSE58606_LumBvsTNBC, GSE98181_BCvsNorm, GSE58606_LumAvsTNBC	up, up, up	LumB vs TNBC, BC vs Norm, LumA vs TNBC
hsa-miR-3117-3p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-3119	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, down, down	Her2 vs TNBC, LumB vs TNBC, LumA vs TNBC
hsa-miR-3121-3p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-3124-5p	CMEP	GSE49035_REvsNoRE, GSE98181_BCvsNorm	down, down	Relaps, BC vs Norm
hsa-miR-3124-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-3125	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3126-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3128	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3130-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3135a	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-3135b	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3140-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3141	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-3144-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-3151-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3152-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3158-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-3163	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3165	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-3174	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3177-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3179	CMEP	GSE58606_HER2vsTNBC, GSE68373_MEvsNoME	up, up	Her2 vs TNBC, Metastasis
hsa-miR-3182	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3184-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-3184-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-3187-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3189-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3191-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-3191-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-3192-5p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-3193	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3194-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-32-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-320a	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-320b	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-320c	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-320d	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-323a-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-324-5p	CMEP	GSE49035_REvsNoRE, GSE58606_LumBvsTNBC	down, up	Relaps, LumB vs TNBC
hsa-miR-330-3p	CMEP	GSE49035_S3vsS2, GSE58606_HER2vsTNBC	down, up	Stage3 vs Stage2, Her2 vs TNBC
hsa-miR-331-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-335-5p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-335-3p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-337-3p	CMEP	GSE58606_HER2vsTNBC, GSE49035_S3vsS2, GSE49035_REvsNoRE	up, up, up	Her2 vs TNBC, Stage3 vs Stage2, Relaps
hsa-miR-337-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-339-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC, GSE22981_BCvsNorm	up, up, down	Her2 vs TNBC, LumB vs TNBC, BC vs Norm
hsa-miR-33a-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-33b-5p	CMEP	GSE41526_BCvsNorm, GSE58606_LumBvsTNBC	down, up	BC vs Norm, LumB vs TNBC
hsa-miR-340-3p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-342-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-342-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-345-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-34a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-34a-5p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-34b-3p	CMEP	GSE49035_S3vsS2, GSE58606_HER2vsTNBC	down, up	Stage3 vs Stage2, Her2 vs TNBC
hsa-miR-34b-5p	CMEP	GSE58606_HER2vsTNBC, GSE22981_BCvsNorm, GSE49035_S3vsS2	up, down, down	Her2 vs TNBC, BC vs Norm, Stage3 vs Stage2
hsa-miR-34c-5p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
