miRNA	Contrast	Dir	Info	Source
hsa-miR-150-5p	BC vs Norm	Up	miR-142 regulates the tumorigenicity of human breast cancer stem cells through the canonical WNT signaling pathway.	mirCancerDB
hsa-miR-150-5p	BC vs Norm	Up	miR-150 promotes human breast cancer growth and malignant behavior by targeting the pro-apoptotic purinergic P2X7 receptor.	mirCancerDB
hsa-miR-152-3p	BC vs Norm	Down	A regulatory circuit of miR-148a/152 and DNMT1 in modulating cell transformation and tumor angiogenesis through IGF-IR and IRS1.	mirCancerDB
hsa-miR-153-3p	BC vs Norm	Down	miR-153 inhibits epithelial-mesenchymal transition by targeting metadherin in human breast cancer.	mirCancerDB
hsa-miR-153-3p	BC vs Norm	Up	miR-153 promotes breast cancer cell apoptosis by targeting HECTD3.	mirCancerDB
hsa-miR-154-5p	BC vs Norm	Down	MicroRNA-154 inhibits growth and invasion of breast cancer cells through targeting E2F5.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	miRNA-155 mediates TAM resistance by modulating SOCS6-STAT3 signalling pathway in breast cancer.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	Matrix Gla protein repression by miR-155 promotes oncogenic signals in breast cancer MCF-7 cells.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	17?-Estradiol up-regulates miR-155 expression and reduces TP53INP1 expression in MCF-7 breast cancer cells.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	miR-155 drives telomere fragility in human breast cancer by targeting TRF1.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	[Expression and its clinical significance of miR-155 in human primary breast cancer].	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	MicroRNA-155 regulates cell survival, growth, and chemosensitivity by targeting FOXO3a in breast cancer.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	A novel panel of serum miR-21/miR-155/miR-365 as a potential diagnostic biomarker for breast cancer.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	MicroRNA-155 functions as an OncomiR in breast cancer by targeting the suppressor of cytokine signaling 1 gene.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	Clinical significance of MicoRNA-155 expression in human breast cancer.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-155-5p	BC vs Norm	Up	Role of microRNAs -29b-2, -155, -197 and -205 as diagnostic biomarkers in serum of breast cancer females.	mirCancerDB
hsa-miR-15a-5p	BC vs Norm	Down	miR-15a is underexpressed and inhibits the cell cycle by targeting CCNE1 in breast cancer.	mirCancerDB
hsa-miR-16-5p	BC vs Norm	Down	MicroRNA-16 sensitizes breast cancer cells to paclitaxel through suppression of IKBKB expression.	mirCancerDB
hsa-miR-16-5p	BC vs Norm	Down	Overexpression of microRNA-16 declines cellular growth, proliferation and induces apoptosis in human breast cancer cells.	mirCancerDB
hsa-miR-16-5p	BC vs Norm	Down	Downregulation of the tumor-suppressor miR-16 via progestin-mediated oncogenic signaling contributes to breast cancer development.	mirCancerDB
hsa-miR-17-5p	BC vs Norm	Up	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-181a-5p	BC vs Norm	Down	Decreased serum miR-181a is a potential new tool for breast cancer screening.	mirCancerDB
hsa-miR-181a-5p	BC vs Norm	Up	Transforming growth factor-? regulates the sphere-initiating stem cell-like feature in breast cancer through miRNA-181 and ATM.	mirCancerDB
hsa-miR-181b-5p	BC vs Norm	Up	miR-181b promotes chemoresistance in breast cancer by regulating Bim expression.	mirCancerDB
hsa-miR-181b-5p	BC vs Norm	Up	Transforming growth factor-? regulates the sphere-initiating stem cell-like feature in breast cancer through miRNA-181 and ATM.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	Suppression of MIM by microRNA-182 activates RhoA and promotes breast cancer metastasis.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	High expression of microRNA-183/182/96 cluster as a prognostic biomarker for breast cancer.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	miR-182 promotes proliferation and invasion and elevates the HIF-1?-VEGF-A axis in breast cancer cells by targeting FBXW7.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	Higher expression of circulating miR-182 as a novel biomarker for breast cancer.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	Up-regulation of miR-182 by ?-catenin in breast cancer increases tumorigenicity and invasiveness by targeting the matrix metalloproteinase inhibitor RECK.	mirCancerDB
hsa-miR-1826	BC vs Norm	Down	MicroRNA-1826 targets VEGFC, beta-catenin (CTNNB1) and MEK1 (MAP2K1) in human bladder cancer.	mirCancerDB
hsa-miR-183-5p	BC vs Norm	Down	Dysregulated miR-183 inhibits migration in breast cancer cells.	mirCancerDB
hsa-miR-183-5p	BC vs Norm	Up	High expression of microRNA-183/182/96 cluster as a prognostic biomarker for breast cancer.	mirCancerDB
hsa-miR-185-5p	BC vs Norm	Down	MicroRNA-185 inhibits proliferation by targeting c-Met in human breast cancer cells.	mirCancerDB
hsa-miR-185-5p	BC vs Norm	Down	miR-185 is involved in human breast carcinogenesis by targeting Vegfa.	mirCancerDB
hsa-miR-18a-5p	BC vs Norm	Up	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-18b-5p	BC vs Norm	Up	microRNA-18b is upregulated in breast cancer and modulates genes involved in cell migration.	mirCancerDB
hsa-miR-191-5p	BC vs Norm	Up	P53-miR-191-SOX4 regulatory loop affects apoptosis in breast cancer.	mirCancerDB
hsa-miR-191-5p	BC vs Norm	Up	Differential expression of miR-21, miR-125b and miR-191 in breast cancer tissue.	mirCancerDB
hsa-miR-191-5p	BC vs Norm	Down	Estrogen mediated-activation of miR-191/425 cluster modulates tumorigenicity of breast cancer cells depending on estrogen receptor status.	mirCancerDB
hsa-miR-191-5p	BC vs Norm	Up	HIF-inducible miR-191 promotes migration in breast cancer through complex regulation of TGF?-signaling in hypoxic microenvironment.	mirCancerDB
hsa-miR-193a-3p	BC vs Norm	Down	Global microRNA level regulation of EGFR-driven cell-cycle protein network in breast cancer.	mirCancerDB
hsa-miR-193b-3p	BC vs Norm	Unknown		Tumor suppressive microRNA-193b promotes breast cancer progression via targeting DNAJC13 and RAB22A.
hsa-miR-193b-3p	BC vs Norm	Down	Downregulation of miR-193b contributes to enhance urokinase-type plasminogen activator (uPA) expression and tumor progression and invasion in human breast cancer.	mirCancerDB
hsa-miR-193b-3p	BC vs Norm	Unknown		Tumor suppressive microRNA-193b promotes breast cancer progression via targeting DNAJC13 and RAB22A.
hsa-miR-195-5p	BC vs Norm	Down	Serum microRNA-195 is down-regulated in breast cancer: a potential marker for the diagnosis of breast cancer.	mirCancerDB
hsa-miR-195-5p	BC vs Norm	Down	MicroRNA-195 inhibits proliferation, invasion and metastasis in breast cancer cells by targeting FASN, HMGCR, ACACA and CYP27B1.	mirCancerDB
hsa-miR-195-5p	BC vs Norm	Down	miR-195 inhibits tumor growth and angiogenesis through modulating IRS1 in breast cancer.	mirCancerDB
hsa-miR-195-5p	BC vs Norm	Down	Analysis of miR-195 and miR-497 expression, regulation and role in breast cancer.	mirCancerDB
hsa-miR-195-5p	BC vs Norm	Down	Upregulation of miR-195 increases the sensitivity of breast cancer cells to Adriamycin treatment through inhibition of Raf-1.	mirCancerDB
hsa-miR-196a-5p	BC vs Norm	Up	MicroRNA-196a post-transcriptionally upregulates the UBE2C proto-oncogene and promotes cell proliferation in breast cancer.	mirCancerDB
hsa-miR-197-3p	BC vs Norm	Up	Role of microRNAs -29b-2, -155, -197 and -205 as diagnostic biomarkers in serum of breast cancer females.	mirCancerDB
hsa-miR-198	BC vs Norm	Down	miR-198 functions as a tumor suppressor in breast cancer by targeting CUB domain-containing protein 1.	mirCancerDB
hsa-miR-199b-5p	BC vs Norm	Down	Down-regulation of miR-199b-5p is correlated with poor prognosis for breast cancer patients.	mirCancerDB
hsa-miR-199b-5p	BC vs Norm	Down	miR-199b-5p targets HER2 in breast cancer cells.	mirCancerDB
hsa-miR-19a-3p	BC vs Norm	Up	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-19a-3p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-19b-3p	BC vs Norm	Up	miR-19b suppresses PTPRG to promote breast tumorigenesis.	mirCancerDB
hsa-miR-19b-3p	BC vs Norm	Up	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-200a-3p	BC vs Norm	Up	MicroRNA-200a Promotes Anoikis Resistance and Metastasis by Targeting YAP1 in Human Breast Cancer.	mirCancerDB
hsa-miR-200a-3p	BC vs Norm	Down	microRNA-200a Inhibits Cell Proliferation by Targeting Mitochondrial Transcription Factor A in Breast Cancer.	mirCancerDB
hsa-miR-200a-3p	BC vs Norm	Up	Direct targeting of Sec23a by miR-200s influences cancer cell secretome and promotes metastatic colonization.	mirCancerDB
hsa-miR-200b-3p	BC vs Norm	Down	Regulation of the MicroRNA 200b (miRNA-200b) by Transcriptional Regulators PEA3 and ELK-1 Protein Affects Expression of Pin1 Protein to Control Anoikis.	mirCancerDB
hsa-miR-200b-3p	BC vs Norm	Up	Direct targeting of Sec23a by miR-200s influences cancer cell secretome and promotes metastatic colonization.	mirCancerDB
hsa-miR-200b-3p	BC vs Norm	Down	miR-200b as a prognostic factor in breast cancer targets multiple members of RAB family.	mirCancerDB
hsa-miR-200c-3p	BC vs Norm	Up	Direct targeting of Sec23a by miR-200s influences cancer cell secretome and promotes metastatic colonization.	mirCancerDB
hsa-miR-200c-3p	BC vs Norm	Down	miR-200c suppresses TGF-? signaling and counteracts trastuzumab resistance and metastasis by targeting ZNF217 and ZEB1 in breast cancer.	mirCancerDB
hsa-miR-200c-3p	BC vs Norm	Down	miR-200c inhibits breast cancer proliferation by targeting KRAS.	mirCancerDB
hsa-miR-203a-3p	BC vs Norm	Up	Anti-miR-203 suppresses ER-positive breast cancer growth and stemness by targeting SOCS3.	mirCancerDB
hsa-miR-203a-3p	BC vs Norm	Up	Anti-miR-203 Upregulates SOCS3 Expression in Breast Cancer Cells and Enhances Cisplatin Chemosensitivity.	mirCancerDB
hsa-miR-203a-3p	BC vs Norm	Up	miR-203 facilitates tumor growth and metastasis by targeting fibroblast growth factor 2 in breast cancer.	mirCancerDB
hsa-miR-204-5p	BC vs Norm	Down	miR-204 regulates the biological behavior of breast cancer MCF-7 cells by directly targeting FOXA1.	mirCancerDB
hsa-miR-204-5p	BC vs Norm	Down	MicroRNA-204 targets JAK2 in breast cancer and induces cell apoptosis through the STAT3/BCl-2/survivin pathway.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Down	Suppression of cell growth and invasion by miR-205 in breast cancer.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Down	MicroRNA-205 inhibits the proliferation and invasion of breast cancer by regulating AMOT expression.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Down	MicroRNA-205 increases the sensitivity of docetaxel in breast cancer.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Up	Role of microRNAs -29b-2, -155, -197 and -205 as diagnostic biomarkers in serum of breast cancer females.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-205-5p	BC vs Norm	Down	miRNA-205 affects infiltration and metastasis of breast cancer.	mirCancerDB
hsa-miR-206	BC vs Norm	Down	Overexpression of miR-206 suppresses glycolysis, proliferation and migration in breast cancer cells via PFKFB3 targeting.	mirCancerDB
hsa-miR-206	BC vs Norm	Down	miR-206 is down-regulated in breast cancer and inhibits cell proliferation through the up-regulation of cyclinD2.	mirCancerDB
hsa-miR-20a-5p	BC vs Norm	Up	miR-20a and miR-20b negatively regulate autophagy by targeting RB1CC1/FIP200 in breast cancer cells.	mirCancerDB
hsa-miR-20a-5p	BC vs Norm	Up	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-20a-5p	BC vs Norm	Up	Diagnostic potential of PTEN-targeting miR-214 in the blood of breast cancer patients.	mirCancerDB
hsa-miR-20b-5p	BC vs Norm	Up	MicroRNA-20b promotes cell growth of breast cancer cells partly via targeting phosphatase and tensin homologue (PTEN).	mirCancerDB
hsa-miR-20b-5p	BC vs Norm	Up	miR-20a and miR-20b negatively regulate autophagy by targeting RB1CC1/FIP200 in breast cancer cells.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	The Regulation and Function of miR-21-FOXO3a-miR-34b/c Signaling in Breast Cancer.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Study of microRNAs-21/221 as potential breast cancer biomarkers in Egyptian women.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Quantitative Measurement of Serum MicroRNA-21 Expression in Relation to Breast Cancer Metastasis in Chinese Females.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	miR-21: A gene of dual regulation in breast cancer.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Circulating microRNA-92a and microRNA-21 as novel minimally invasive biomarkers for primary breast cancer.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	MicroRNA-21 regulates breast cancer invasion partly by targeting tissue inhibitor of metalloproteinase 3 expression.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Tissue specific expression of extracellular microRNA in human breast cancers and normal human breast tissue in vivo.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Androgens downregulate miR-21 expression in breast cancer cells underlining the protective role of androgen receptor.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	BMP-6 inhibits microRNA-21 expression in breast cancer through repressing deltaEF1 and AP-1.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Next-generation sequencing of microRNAs for breast cancer detection.	mirCancerDB
